Word name	Part of speech	Definition
Basisphenoid	n.	The basisphenoid bone.
Basked	imp. & p. p.	of Bask
Basking	p. pr. & vb. n.	of Bask
Bask	v. t.	To lie in warmth; to be exposed to genial heat.
Bask	v. t.	To warm by continued exposure to heat; to warm with genial heat.
Basket	n.	A vessel made of osiers or other twigs, cane, rushes, splints, or other flexible material, interwoven.
Basket	n.	The contents of a basket; as much as a basket contains; as, a basket of peaches.
Basket	n.	The bell or vase of the Corinthian capital.
Basket	n.	The two back seats facing one another on the outside of a stagecoach.
Basket	v. t.	To put into a basket.
Basketfuls	pl.	of Basketful
Basketful	n.	As much as a basket will contain.
Basketry	n.	The art of making baskets; also, baskets, taken collectively.
Basking shark		One of the largest species of sharks (Cetorhinus maximus), so called from its habit of basking in the sun; the liver shark, or bone shark. It inhabits the northern seas of Europe and America, and grows to a length of more than forty feet. It is a harmless species.
Basnet	n.	Same as Bascinet.
Basommatophora	n. pl.	A group of Pulmonifera having the eyes at the base of the tentacles, including the common pond snails.
Bason	n.	A basin.
Basque	a.	Pertaining to Biscay, its people, or their language.
Basque	n.	One of a race, of unknown origin, inhabiting a region on the Bay of Biscay in Spain and France.
Basque	n.	The language spoken by the Basque people.
Basque	n.	A part of a lady's dress, resembling a jacket with a short skirt; -- probably so called because this fashion of dress came from the Basques.
Basquish	a.	Pertaining to the country, people, or language of Biscay; Basque
Bas-relief	n.	Low relief; sculpture, the figures of which project less than half of their true proportions; -- called also bassrelief and basso-rilievo. See Alto-rilievo.
Bass	pl.	of Bass
Basses	pl.	of Bass
Bass	n.	An edible, spiny-finned fish, esp. of the genera Roccus, Labrax, and related genera. There are many species.
Bass	n.	The two American fresh-water species of black bass (genus Micropterus). See Black bass.
Bass	n.	Species of Serranus, the sea bass and rock bass. See Sea bass.
Bass	n.	The southern, red, or channel bass (Sciaena ocellata). See Redfish.
Bass	n.	The linden or lime tree, sometimes wrongly called whitewood; also, its bark, which is used for making mats. See Bast.
Bass	n.	A hassock or thick mat.
Bass	a.	A bass, or deep, sound or tone.
Bass	a.	The lowest part in a musical composition.
Bass	a.	One who sings, or the instrument which plays, bass.
Bass	a.	Deep or grave in tone.
Bass	v. t.	To sound in a deep tone.
Bassa	n.	Alt. of Bassaw
Bassaw	n.	See Bashaw.
Bass drum		The largest of the different kinds of drums, having two heads, and emitting a deep, grave sound. See Bass, a.
Basset	n.	A game at cards, resembling the modern faro, said to have been invented at Venice.
Basset	a.	Inclined upward; as, the basset edge of strata.
Basset	n.	The edge of a geological stratum at the surface of the ground; the outcrop.
Basseted	imp. & p. p.	of Basset
Basseting	p. pr. & vb. n.	of Basset
Basset	v. i.	To inclined upward so as to appear at the surface; to crop out; as, a vein of coal bassets.
Basset horn	a.	An instrument blown with a reed, and resembling a clarinet, but of much greater compass, embracing nearly four octaves.
Basset hound		A small kind of hound with a long body and short legs, used as an earth dog.
Basseting	n.	The upward direction of a vein in a mine; the emergence of a stratum at the surface.
Bassetto	n.	A tenor or small bass viol.
Bass horn		A modification of the bassoon, much deeper in tone.
Bassinet	n.	A wicker basket, with a covering or hood over one end, in which young children are placed as in a cradle.
Bassinet	n.	See Bascinet.
Basso	a.	The bass or lowest part; as, to sing basso.
Basso	a.	One who sings the lowest part.
Basso	a.	The double bass, or contrabasso.
Bassock	n.	A hassock. See 2d Bass, 2.
Bassoon	n.	A wind instrument of the double reed kind, furnished with holes, which are stopped by the fingers, and by keys, as in flutes. It forms the natural bass to the oboe, clarinet, etc.
Bassoonist	n.	A performer on the bassoon.
Basso-rilievo	n.	Alt. of Basso-relievo
Basso-relievo	n.	Same as Bas-relief.
Bassorin	n.	A constituent part of a species of gum from Bassora, as also of gum tragacanth and some gum resins. It is one of the amyloses.
Bass-relief	n.	Some as Bas-relief.
Bass viol		A stringed instrument of the viol family, used for playing bass. See 3d Bass, n., and Violoncello.
Basswood	n.	The bass (Tilia) or its wood; especially, T. Americana. See Bass, the lime tree.
Bast	n.	The inner fibrous bark of various plants; esp. of the lime tree; hence, matting, cordage, etc., made therefrom.
Bast	n.	A thick mat or hassock. See 2d Bass, 2.
Basta	interj.	Enough; stop.
Bastard	n.	"A ""natural"" child; a child begotten and born out of wedlock; an illegitimate child; one born of an illicit union."
Bastard	n.	An inferior quality of soft brown sugar, obtained from the sirups that / already had several boilings.
Bastard	n.	A large size of mold, in which sugar is drained.
Bastard	n.	A sweet Spanish wine like muscadel in flavor.
Bastard	n.	A writing paper of a particular size. See Paper.
Bastard	a.	Begotten and born out of lawful matrimony; illegitimate. See Bastard, n., note.
Bastard	n.	Lacking in genuineness; spurious; false; adulterate; -- applied to things which resemble those which are genuine, but are really not so.
Bastard	n.	Of an unusual make or proportion; as, a bastard musket; a bastard culverin.
Bastard	n.	Abbreviated, as the half title in a page preceding the full title page of a book.
Bastard	v. t.	To bastardize.
Bastardism	n.	The state of being a bastard; bastardy.
Bastardized	imp. & p. p.	of Bastardize
Bastardizing	p. pr. & vb. n.	of Bastardize
Bastardize	v. t.	To make or prove to be a bastard; to stigmatize as a bastard; to declare or decide legally to be illegitimate.
Bastardize	v. t.	To beget out of wedlock.
Bastardly	a.	Bastardlike; baseborn; spurious; corrupt.
Bastardly	adv.	In the manner of a bastard; spuriously.
Bastardy	n.	The state of being a bastard; illegitimacy.
Bastardy	n.	The procreation of a bastard child.
Basted	imp. & p. p.	of Baste
Basting	p. pr. & vb. n.	of Baste
Baste	v. t.	To beat with a stick; to cudgel.
Baste	v. t.	To sprinkle flour and salt and drip butter or fat on, as on meat in roasting.
Baste	v. t.	To mark with tar, as sheep.
Baste	v. t.	To sew loosely, or with long stitches; -- usually, that the work may be held in position until sewed more firmly.
Bastile Bastille	n.	A tower or an elevated work, used for the defense, or in the siege, of a fortified place.
Bastile Bastille	n.	"""The Bastille"", formerly a castle or fortress in Paris, used as a prison, especially for political offenders; hence, a rhetorical name for a prison."
Bastinade	n.	See Bastinado, n.
Bastinade	v. t.	To bastinado.
Bastinadoes	pl.	of Bastinado
Bastinado	n.	A blow with a stick or cudgel.
Bastinado	n.	A sound beating with a stick or cudgel. Specifically: A form of punishment among the Turks, Chinese, and others, consisting in beating an offender on the soles of his feet.
Bastinadoes	imp. & p. p.	of Bastinado
Bastinadoing	p. pr. & vb. n.	of Bastinado
Bastinado	v. t.	To beat with a stick or cudgel, especially on the soles of the feet.
Bastion	n.	A work projecting outward from the main inclosure of a fortification, consisting of two faces and two flanks, and so constructed that it is able to defend by a flanking fire the adjacent curtain, or wall which extends from one bastion to another. Two adjacent bastions are connected by the curtain, which joins the flank of one with the adjacent flank of the other. The distance between the flanks of a bastion is called the gorge. A lunette is a detached bastion. See Ravelin.
Bastioned	a.	Furnished with a bastion; having bastions.
Basto	n.	The ace of clubs in quadrille and omber.
Baston	n.	A staff or cudgel.
Baston	n.	See Baton.
Baston	n.	An officer bearing a painted staff, who formerly was in attendance upon the king's court to take into custody persons committed by the court.
Basyle	n.	A positive or nonacid constituent of compound, either elementary, or, if compound, performing the functions of an element.
Basylous	a.	Pertaining to, or having the nature of, a basyle; electro-positive; basic; -- opposed to chlorous.
Bat	n.	A large stick; a club; specifically, a piece of wood with one end thicker or broader than the other, used in playing baseball, cricket, etc.
Bat	n.	Shale or bituminous shale.
Bat	n.	A sheet of cotton used for filling quilts or comfortables; batting.
Bat	n.	A part of a brick with one whole end.
Batted	imp. & p. p.	of Bat
Batting	p. pr. & vb. n.	of Bat
Bat	v. t.	To strike or hit with a bat or a pole; to cudgel; to beat.
Bat	v. i.	To use a bat, as in a game of baseball.
Bat	n.	One of the Cheiroptera, an order of flying mammals, in which the wings are formed by a membrane stretched between the elongated fingers, legs, and tail. The common bats are small and insectivorous. See Cheiroptera and Vampire.
Batable	a.	Disputable.
Batailled	a.	Embattled.
Batardeau	n.	A cofferdam.
Batardeau	n.	A wall built across the ditch of a fortification, with a sluice gate to regulate the height of water in the ditch on both sides of the wall.
Batatas	n.	Alt. of Batata
Batata	n.	An aboriginal American name for the sweet potato (Ipomaea batatas).
Batavian	a.	Of or pertaining to (a) the Batavi, an ancient Germanic tribe; or to (b) /atavia or Holland; as, a Batavian legion.
Batavian	n.	A native or inhabitant of Batavia or Holland.
Batch	v. t.	The quantity of bread baked at one time.
Batch	v. t.	A quantity of anything produced at one operation; a group or collection of persons or things of the same kind; as, a batch of letters; the next batch of business.
Bate	n.	Strife; contention.
Bated	imp. & p. p.	of Bate
Bating	p. pr. & vb. n.	of Bate
Bate	v. t.	To lessen by retrenching, deducting, or reducing; to abate; to beat down; to lower.
Bate	v. t.	To allow by way of abatement or deduction.
Bate	v. t.	To leave out; to except.
Bate	v. t.	To remove.
Bate	v. t.	To deprive of.
Bate	v. i.	To remit or retrench a part; -- with of.
Bate	v. i.	To waste away.
Bate	v. t.	To attack; to bait.
Bate		imp. of Bite.
Bate	v. i.	To flutter as a hawk; to bait.
Bate	n.	See 2d Bath.
Bate	n.	An alkaline solution consisting of the dung of certain animals; -- employed in the preparation of hides; grainer.
Bate	v. t.	To steep in bate, as hides, in the manufacture of leather.
Bateaux	pl.	of Bateau
Bateau	n.	A boat; esp. a flat-bottomed, clumsy boat used on the Canadian lakes and rivers.
Bated	a.	Reduced; lowered; restrained; as, to speak with bated breath.
Bateful	a.	Exciting contention; contentious.
Bateless	a.	Not to be abated.
Batement	n.	Abatement; diminution.
Batfish	n.	A name given to several species of fishes: (a) The Malthe vespertilio of the Atlantic coast. (b) The flying gurnard of the Atlantic (Cephalacanthus spinarella). (c) The California batfish or sting ray (Myliobatis Californicus.)
Batfowler	n.	One who practices or finds sport in batfowling.
Batfowling	n.	A mode of catching birds at night, by holding a torch or other light, and beating the bush or perch where they roost. The birds, flying to the light, are caught with nets or otherwise.
Batful	v. i.	Rich; fertile.
Baths	pl.	of Bath
Bath	n.	The act of exposing the body, or part of the body, for purposes of cleanliness, comfort, health, etc., to water, vapor, hot air, or the like; as, a cold or a hot bath; a medicated bath; a steam bath; a hip bath.
Bath	n.	Water or other liquid for bathing.
Bath	n.	A receptacle or place where persons may immerse or wash their bodies in water.
Bath	n.	A building containing an apartment or a series of apartments arranged for bathing.
Bath	n.	A medium, as heated sand, ashes, steam, hot air, through which heat is applied to a body.
Bath	n.	A solution in which plates or prints are immersed; also, the receptacle holding the solution.
Bath	n.	A Hebrew measure containing the tenth of a homer, or five gallons and three pints, as a measure for liquids; and two pecks and five quarts, as a dry measure.
Bath	n.	A city in the west of England, resorted to for its hot springs, which has given its name to various objects.
Bathed	imp. & p. p.	of Bathe
Bathing	p. pr. & vb. n.	of Bathe
Bathe	v. t.	To wash by immersion, as in a bath; to subject to a bath.
Bathe	v. t.	To lave; to wet.
Bathe	v. t.	To moisten or suffuse with a liquid.
Bathe	v. t.	To apply water or some liquid medicament to; as, to bathe the eye with warm water or with sea water; to bathe one's forehead with camphor.
Bathe	v. t.	To surround, or envelop, as water surrounds a person immersed.
Bathe	v. i.	To bathe one's self; to take a bath or baths.
Bathe	v. i.	To immerse or cover one's self, as in a bath.
Bathe	v. i.	To bask in the sun.
Bathe	n.	The immersion of the body in water; as to take one's usual bathe.
Bather	n.	One who bathes.
Bathetic	a.	Having the character of bathos.
Bathing	n.	Act of taking a bath or baths.
Bathmism	n.	See Vital force.
Bathometer	n.	An instrument for measuring depths, esp. one for taking soundings without a sounding line.
Bathorse	n.	A horse which carries an officer's baggage during a campaign.
Bathos	n.	A ludicrous descent from the elevated to the low, in writing or speech; anticlimax.
Bathybius	n.	A name given by Prof. Huxley to a gelatinous substance found in mud dredged from the Atlantic and preserved in alcohol. He supposed that it was free living protoplasm, covering a large part of the ocean bed. It is now known that the substance is of chemical, not of organic, origin.
Bathymetric	a.	Alt. of Bathymetrical
Bathymetrical	a.	Pertaining to bathymetry; relating to the measurement of depths, especially of depths in the sea.
Bathymetry	n.	The art or science of sounding, or measuring depths in the sea.
Bating	prep.	With the exception of; excepting.
Batiste	n.	Originally, cambric or lawn of fine linen; now applied also to cloth of similar texture made of cotton.
Batlet	n.	A short bat for beating clothes in washing them; -- called also batler, batling staff, batting staff.
Batman	n.	A weight used in the East, varying according to the locality; in Turkey, the greater batman is about 157 pounds, the lesser only a fourth of this; at Aleppo and Smyrna, the batman is 17 pounds.
Batmen	pl.	of Batman
Batman	n.	A man who has charge of a bathorse and his load.
Batoidei	n. pl.	The division of fishes which includes the rays and skates.
Baton	n.	A staff or truncheon, used for various purposes; as, the baton of a field marshal; the baton of a conductor in musical performances.
Baton	n.	An ordinary with its ends cut off, borne sinister as a mark of bastardy, and containing one fourth in breadth of the bend sinister; -- called also bastard bar. See Bend sinister.
Batoon	n.	See Baton, and Baston.
Bat printing		A mode of printing on glazed ware.
Batrachia	n. pl.	The order of amphibians which includes the frogs and toads; the Anura. Sometimes the word is used in a wider sense as equivalent to Amphibia.
Batrachian	a.	Pertaining to the Batrachia.
Batrachian	n.	One of the Batrachia.
Batrachoid	a.	Froglike. Specifically: Of or pertaining to the Batrachidae, a family of marine fishes, including the toadfish. Some have poisonous dorsal spines.
Batrachomyomachy	n.	The battle between the frogs and mice; -- a Greek parody on the Iliad, of uncertain authorship.
Batrachophagous	a.	Feeding on frogs.
Batsmen	pl.	of Batsman
Batsman	n.	The one who wields the bat in cricket, baseball, etc.
Bat's-wing	a.	Alt. of Batwing
Batwing	a.	Shaped like a bat's wing; as, a bat's-wing burner.
Batta	n.	Extra pay; esp. an extra allowance to an English officer serving in India.
Batta	n.	Rate of exchange; also, the discount on uncurrent coins.
Battable	a.	Capable of cultivation; fertile; productive; fattening.
Battailant	v. i.	Prepared for battle; combatant; warlike.
Battailant	n.	A combatant.
Battailous	n.	Arrayed for battle; fit or eager for battle; warlike.
Battalia	n.	Order of battle; disposition or arrangement of troops (brigades, regiments, battalions, etc.), or of a naval force, for action.
Battalia	n.	An army in battle array; also, the main battalia or body.
Battalion	n.	A body of troops; esp. a body of troops or an army in battle array.
Battalion	n.	A regiment, or two or more companies of a regiment, esp. when assembled for drill or battle.
Battalion	v. t.	To form into battalions.
Battel	n.	A single combat; as, trial by battel. See Wager of battel, under Wager.
Battel	n.	Provisions ordered from the buttery; also, the charges for them; -- only in the pl., except when used adjectively.
Battel	v. i.	To be supplied with provisions from the buttery.
Battel	v. i.	To make fertile.
Battel	a.	Fertile; fruitful; productive.
Batteler	n.	Alt. of Battler
Battler	n.	A student at Oxford who is supplied with provisions from the buttery; formerly, one who paid for nothing but what he called for, answering nearly to a sizar at Cambridge.
Battened	imp. & p. p.	of Batten
Battening	p. pr. & vb. n.	of Batten
Batten	v. t.	To make fat by plenteous feeding; to fatten.
Batten	v. t.	To fertilize or enrich, as land.
Batten	v. i.	To grow fat; to grow fat in ease and luxury; to glut one's self.
Batten	n .	A strip of sawed stuff, or a scantling; as, (a) pl. (Com. & Arch.) Sawed timbers about 7 by 2 1/2 inches and not less than 6 feet long. Brande & C. (b) (Naut.) A strip of wood used in fastening the edges of a tarpaulin to the deck, also around masts to prevent chafing. (c) A long, thin strip used to strengthen a part, to cover a crack, etc.
Batten	v. t.	To furnish or fasten with battens.
Batten	v. t.	The movable bar of a loom, which strikes home or closes the threads of a woof.
Battening	n.	Furring done with small pieces nailed directly upon the wall.
Battered	imp. & p. p.	of Batter
Battering	p. pr. & vb. n.	of Batter
Batter	v. t.	To beat with successive blows; to beat repeatedly and with violence, so as to bruise, shatter, or demolish; as, to batter a wall or rampart.
Batter	v. t.	To wear or impair as if by beating or by hard usage.
Batter	v. t.	To flatten (metal) by hammering, so as to compress it inwardly and spread it outwardly.
Batter	v. t.	A semi-liquid mixture of several ingredients, as, flour, eggs, milk, etc., beaten together and used in cookery.
Batter	v. t.	Paste of clay or loam.
Batter	v. t.	A bruise on the face of a plate or of type in the form.
Batter	n.	A backward slope in the face of a wall or of a bank; receding slope.
Batter	v. i.	To slope gently backward.
Batter	n.	One who wields a bat; a batsman.
Batterer	n.	One who, or that which, batters.
Battering-ram	n.	An engine used in ancient times to beat down the walls of besieged places.
Battering-ram	n.	A blacksmith's hammer, suspended, and worked horizontally.
Battering train		A train of artillery for siege operations.
Batteries	pl.	of Battery
Battery	v. t.	The act of battering or beating.
Battery	v. t.	The unlawful beating of another. It includes every willful, angry and violent, or negligent touching of another's person or clothes, or anything attached to his person or held by him.
Battery	v. t.	Any place where cannon or mortars are mounted, for attack or defense.
Battery	v. t.	Two or more pieces of artillery in the field.
Battery	v. t.	A company or division of artillery, including the gunners, guns, horses, and all equipments. In the United States, a battery of flying artillery consists usually of six guns.
Battery	v. t.	A number of coated jars (Leyden jars) so connected that they may be charged and discharged simultaneously.
Battery	v. t.	An apparatus for generating voltaic electricity.
Battery	v. t.	A number of similar machines or devices in position; an apparatus consisting of a set of similar parts; as, a battery of boilers, of retorts, condensers, etc.
Battery	v. t.	A series of stamps operated by one motive power, for crushing ores containing the precious metals.
Battery	v. t.	The box in which the stamps for crushing ore play up and down.
Battery	v. t.	The pitcher and catcher together.
Batting	n.	The act of one who bats; the management of a bat in playing games of ball.
Batting	n.	Cotton in sheets, prepared for use in making quilts, etc.; as, cotton batting.
Battle	a.	Fertile. See Battel, a.
Battle	v. t.	A general action, fight, or encounter, in which all the divisions of an army are or may be engaged; an engagement; a combat.
Battle	v. t.	A struggle; a contest; as, the battle of life.
Battle	v. t.	A division of an army; a battalion.
Battle	v. t.	The main body, as distinct from the van and rear; battalia.
Battled	imp. & p. p.	of Battle
Battling	p. pr. & vb. n.	of Battle
Battle	n.	To join in battle; to contend in fight; as, to battle over theories.
Battle	v. t.	To assail in battle; to fight.
Battle-ax	n.	Alt. of Battle-axe
Battle-axe	n.	A kind of broadax formerly used as an offensive weapon.
Battled	p. p.	Embattled.
Battledoor	n.	An instrument, with a handle and a flat part covered with parchment or crossed with catgut, used to strike a shuttlecock in play; also, the play of battledoor and shuttlecock.
Battledoor	n.	A child's hornbook.
Battlement	n.	One of the solid upright parts of a parapet in ancient fortifications.
Battlement	n.	pl. The whole parapet, consisting of alternate solids and open spaces. At first purely a military feature, afterwards copied on a smaller scale with decorative features, as for churches.
Battlemented	a.	Having battlements.
Battologist	n.	One who battologizes.
Battologize	v. t.	To keep repeating needlessly; to iterate.
Battology	n.	A needless repetition of words in speaking or writing.
Batton	n.	See Batten, and Baton.
Battue	v. t.	The act of beating the woods, bushes, etc., for game.
Battue	v. t.	The game itself.
Battue	v. t.	The wanton slaughter of game.
Batture	n.	An elevated river bed or sea bed.
Battuta	n.	The measuring of time by beating.
Batty	a.	Belonging to, or resembling, a bat.
Batule	n.	A springboard in a circus or gymnasium; -- called also batule board.
Batzen	pl.	of Batz
Batz	n.	A small copper coin, with a mixture of silver, formerly current in some parts of Germany and Switzerland. It was worth about four cents.
Baubee	n.	Same as Bawbee.
Bauble	n.	A trifling piece of finery; a gewgaw; that which is gay and showy without real value; a cheap, showy plaything.
Bauble	n.	The fool's club.
Baubling	a.	See Bawbling.
Baudekin	n.	The richest kind of stuff used in garments in the Middle Ages, the web being gold, and the woof silk, with embroidery : -- made originally at Bagdad.
Baudrick	n.	A belt. See Baldric.
Bauk	n. & v.	Alt. of Baulk
Baulk	n. & v.	See Balk.
Baunscheidtism	n.	A form of acupuncture, followed by the rubbing of the part with a stimulating fluid.
Bauxite	n.	Alt. of Beauxite
Beauxite	n.	A ferruginous hydrate of alumina. It is largely used in the preparation of aluminium and alumina, and for the lining of furnaces which are exposed to intense heat.
Bavarian	a.	Of or pertaining to Bavaria.
Bavarian	n.	A native or an inhabitant of Bavaria.
Bavaroy	n.	A kind of cloak or surtout.
Bavian	n.	A baboon.
Bavin	n.	A fagot of brushwood, or other light combustible matter, for kindling fires; refuse of brushwood.
Bavin	n.	Impure limestone.
Bawbee	n.	A halfpenny.
Bawble	n.	A trinket. See Bauble.
Bawbling	a.	Insignificant; contemptible.
Bawcock	n.	A fine fellow; -- a term of endearment.
Bawd	n.	A person who keeps a house of prostitution, or procures women for a lewd purpose; a procurer or procuress; a lewd person; -- usually applied to a woman.
Bawd	v. i.	To procure women for lewd purposes.
Bawdily	adv.	Obscenely; lewdly.
Bawdiness	n.	Obscenity; lewdness.
Bawdrick	n.	A belt. See Baldric.
Bawdry	n.	The practice of procuring women for the gratification of lust.
Bawdry	n.	Illicit intercourse; fornication.
Bawdry	n.	Obscenity; filthy, unchaste language.
Bawdy	a.	Dirty; foul; -- said of clothes.
Bawdy	a.	Obscene; filthy; unchaste.
Bawdyhouse	n.	A house of prostitution; a house of ill fame; a brothel.
Bawhorse	n.	Same as Bathorse.
Bawled	imp. & p. p.	of Bawl
Bawling	p. pr. & vb. n.	of Bawl
Bawl	v. i.	To cry out with a loud, full sound; to cry with vehemence, as in calling or exultation; to shout; to vociferate.
Bawl	v. i.	To cry loudly, as a child from pain or vexation.
Bawl	v. t.	To proclaim with a loud voice, or by outcry, as a hawker or town-crier does.
Bawl	n.	A loud, prolonged cry; an outcry.
Bawler	n.	One who bawls.
Bawn	n.	An inclosure with mud or stone walls, for keeping cattle; a fortified inclosure.
Bawn	n.	A large house.
Bawrel	n.	A kind of hawk.
Bawsin	n.	Alt. of Bawson
Bawson	n.	A badger.
Bawson	n.	A large, unwieldy person.
Baxter	n.	A baker; originally, a female baker.
Bay	a.	Reddish brown; of the color of a chestnut; -- applied to the color of horses.
Bay	n.	An inlet of the sea, usually smaller than a gulf, but of the same general character.
Bay	n.	A small body of water set off from the main body; as a compartment containing water for a wheel; the portion of a canal just outside of the gates of a lock, etc.
Bay	n.	A recess or indentation shaped like a bay.
Bay	n.	A principal compartment of the walls, roof, or other part of a building, or of the whole building, as marked off by the buttresses, vaulting, mullions of a window, etc.; one of the main divisions of any structure, as the part of a bridge between two piers.
Bay	n.	A compartment in a barn, for depositing hay, or grain in the stalks.
Bay	n.	A kind of mahogany obtained from Campeachy Bay.
Bay	n.	A berry, particularly of the laurel.
Bay	n.	The laurel tree (Laurus nobilis). Hence, in the plural, an honorary garland or crown bestowed as a prize for victory or excellence, anciently made or consisting of branches of the laurel.
Bay	n.	A tract covered with bay trees.
Bayed	imp. & p. p.	of Bay
Baying	p. pr. & vb. n.	of Bay
Bay	v. i.	To bark, as a dog with a deep voice does, at his game.
Bay	v. t.	To bark at; hence, to follow with barking; to bring or drive to bay; as, to bay the bear.
Bay	v. i.	Deep-toned, prolonged barking.
Bay	v. i.	A state of being obliged to face an antagonist or a difficulty, when escape has become impossible.
Bay	v. t.	To bathe.
Bay	n.	A bank or dam to keep back water.
Bay	v. t.	To dam, as water; -- with up or back.
Baya	n.	The East Indian weaver bird (Ploceus Philippinus).
Bayad	n.	Alt. of Bayatte
Bayatte	n.	A large, edible, siluroid fish of the Nile, of two species (Bagrina bayad and B. docmac).
Bayadere	n.	A female dancer in the East Indies.
Bay-antler	n.	The second tine of a stag's horn. See under Antler.
Bayard	a.	Properly, a bay horse, but often any horse. Commonly in the phrase blind bayard, an old blind horse.
Bayard	a.	A stupid, clownish fellow.
Bayardly	a.	Blind; stupid.
Bayberry	n.	The fruit of the bay tree or Laurus nobilis.
Bayberry	n.	A tree of the West Indies related to the myrtle (Pimenta acris).
Bayberry	n.	The fruit of Myrica cerifera (wax myrtle); the shrub itself; -- called also candleberry tree.
Baybolt	n.	A bolt with a barbed shank.
Bayed	a.	Having a bay or bays.
Bay ice		See under Ice.
Bay leaf		See under 3d Bay.
Bayonet	n.	A pointed instrument of the dagger kind fitted on the muzzle of a musket or rifle, so as to give the soldier increased means of offense and defense.
Bayonet	n.	A pin which plays in and out of holes made to receive it, and which thus serves to engage or disengage parts of the machinery.
Bayoneted	imp. & p. p.	of Bayonet
Bayoneting	p. pr. & vb. n.	of Bayonet
Bayonet	v. t.	To stab with a bayonet.
Bayonet	v. t.	To compel or drive by the bayonet.
Bayous	pl.	of Bayou
Bayou	n.	An inlet from the Gulf of Mexico, from a lake, or from a large river, sometimes sluggish, sometimes without perceptible movement except from tide and wind.
Bay rum		A fragrant liquid, used for cosmetic and medicinal purposes.
Bays	n.	Alt. of Bayze
Bayze	n.	See Baize.
Bay salt		Salt which has been obtained from sea water, by evaporation in shallow pits or basins, by the heat of the sun; the large crystalline salt of commerce.
Bay tree		A species of laurel. (Laurus nobilis).
Bay window		A window forming a bay or recess in a room, and projecting outward from the wall, either in a rectangular, polygonal, or semicircular form; -- often corruptly called a bow window.
Bay yarn		Woolen yarn.
Bazaar	n.	Alt. of Bazar
Bazar	n.	In the East, an exchange, marketplace, or assemblage of shops where goods are exposed for sale.
Bazar	n.	A spacious hall or suite of rooms for the sale of goods, as at a fair.
Bazar	n.	A fair for the sale of fancy wares, toys, etc., commonly for a charitable objects.
Bdellium	n.	An unidentified substance mentioned in the Bible (Gen. ii. 12, and Num. xi. 7), variously taken to be a gum, a precious stone, or pearls, or perhaps a kind of amber found in Arabia.
Bdellium	n.	A gum resin of reddish brown color, brought from India, Persia, and Africa.
Bdelloidea	n. pl.	The order of Annulata which includes the leeches. See Hirudinea.
Bdellometer	n.	A cupping glass to which are attached a scarificator and an exhausting syringe.
Bdellomorpha	n.	An order of Nemertina, including the large leechlike worms (Malacobdella) often parasitic in clams.
Was	imp.	of Be
Been	p. p.	of Be
Being	p. pr. & vb. n.	of Be
Be	v. i.	To exist actually, or in the world of fact; to have ex/stence.
Be	v. i.	To exist in a certain manner or relation, -- whether as a reality or as a product of thought; to exist as the subject of a certain predicate, that is, as having a certain attribute, or as belonging to a certain sort, or as identical with what is specified, -- a word or words for the predicate being annexed; as, to be happy; to be here; to be large, or strong; to be an animal; to be a hero; to be a nonentity; three and two are five; annihilation is the cessation of existence; that is the man.
Be	v. i.	To take place; to happen; as, the meeting was on Thursday.
Be	v. i.	To signify; to represent or symbolize; to answer to.
Be-		A prefix, originally the same word as by;
Be-		To intensify the meaning; as, bespatter, bestir.
Be-		To render an intransitive verb transitive; as, befall (to fall upon); bespeak (to speak for).
Be-		To make the action of a verb particular or definite; as, beget (to get as offspring); beset (to set around).
Beaches	pl.	of Beach
Beach	n.	Pebbles, collectively; shingle.
Beach	n.	The shore of the sea, or of a lake, which is washed by the waves; especially, a sandy or pebbly shore; the strand.
Beached	imp. & p. p.	of Beach
Beaching	p. pr. & vb. n.	of Beach
Beach	v. t.	To run or drive (as a vessel or a boat) upon a beach; to strand; as, to beach a ship.
Beach comber		A long, curling wave rolling in from the ocean. See Comber.
Beached	p. p. & a.	Bordered by a beach.
Beached	p. p. & a.	Driven on a beach; stranded; drawn up on a beach; as, the ship is beached.
Beachy	a.	Having a beach or beaches; formed by a beach or beaches; shingly.
Beacon	n.	A signal fire to notify of the approach of an enemy, or to give any notice, commonly of warning.
Beacon	n.	A signal or conspicuous mark erected on an eminence near the shore, or moored in shoal water, as a guide to mariners.
Beacon	n.	A high hill near the shore.
Beacon	n.	That which gives notice of danger.
Beaconed	imp. & p. p.	of Beacon
Beaconing	p. pr. & vb. n.	of Beacon
Beacon	v. t.	To give light to, as a beacon; to light up; to illumine.
Beacon	v. t.	To furnish with a beacon or beacons.
Beaconage	n.	Money paid for the maintenance of a beacon; also, beacons, collectively.
Beaconless	a.	Having no beacon.
Bead	n.	A prayer.
Bead	n.	A little perforated ball, to be strung on a thread, and worn for ornament; or used in a rosary for counting prayers, as by Roman Catholics and Mohammedans, whence the phrases to tell beads, to at one's beads, to bid beads, etc., meaning, to be at prayer.
Bead	n.	Any small globular body
Bead	n.	A bubble in spirits.
Bead	n.	A drop of sweat or other liquid.
Bead	n.	A small knob of metal on a firearm, used for taking aim (whence the expression to draw a bead, for, to take aim).
Bead	n.	A small molding of rounded surface, the section being usually an arc of a circle. It may be continuous, or broken into short embossments.
Bead	n.	A glassy drop of molten flux, as borax or microcosmic salt, used as a solvent and color test for several mineral earths and oxides, as of iron, manganese, etc., before the blowpipe; as, the borax bead; the iron bead, etc.
